"Effect_Size_ID","Study_ID","Species_ID","Study_Pop_ID_(1)","Study_Pop_ID_(2)","Treatment_ID","Trait_ID","First_Author","Title","Publication_Year","Publication_Year_Z","Journal","Impact_Factor","Kingdom","Phylum","Class","Order","Family","Scientific_Name","Ecosystem","First_Population","Second_Population","Plasticity_Category","Type","T1","T1_Number","T2","T2_Number","Treatment_Unit","high","Category","Measurement","Trait_Unit","Total_Shared_Control","Shared_Animal_Number","n_(P1T1)","Mean_(P1T1)","SD_(P1T1)","n_(P1T2)","Mean_(P1T2)","SD_(P1T2)","n_(P2T1)","Mean_(P2T1)","SD_(P2T1)","n_(P2T2)","Mean_(P2T2)","SD_(P2T2)","Effect_Size","Variance","Effect_Size_Type","Variance_Type","Percentage_Transformation","Proportion_Transformation","n_(P1T1)_Adjusted","Mean_(P1T1)_Adjusted","SD_(P1T1)_Adjusted","n_(P1T2)_Adjusted","Mean_(P1T2)_Adjusted","SD_(P1T2)_Adjusted","n_(P2T1)_Adjusted","Mean_(P2T1)_Adjusted","SD_(P2T1)_Adjusted","n_(P2T2)_Adjusted","Mean_(P2T2)_Adjusted","SD_(P2T2)_Adjusted","Effect_Size_Adjusted","Variance_Adjusted","Precision","Effect_Size_Type_Adjusted","Variance_Type_Adjusted","Precision_Type"
11,4,1,4.1,4.2,1,3,"Resende, R. S.","Responses of Leptinaria unilamellata (Gastropoda: Subulinidae) to Novel Micro-Environmental Conditions: Shift in Shell Morphology and the Balance Between Protection Against Desiccation and Reproductive Success",2020,1.47601969721816,"Zoological Science",0.931,"Metazoa","Mollusca","Gastropoda","Stylommatophora","Subulinidae","Leptinaria unilamellata","Terrestrial","Chácara","Leopoldina","Developmental","Humidity","High",NA,"Low",NA,NA,"T1","Morphology","Aperture Length","mm",1,4,30,7.61,1.72,30,7.55,1.07,30,5.05,0.58,30,4.99,1.02,-0.00403672491117968,0.00420477426894548,NA,NA,"No","No",30,7.61,1.72,30,7.55,1.07,30,5.05,0.58,30,4.99,1.02,-0.00403672491117968,0.00420477426894548,-0.084268894425202,NA,NA,NA
12,4,1,4.1,4.2,1,4,"Resende, R. S.","Responses of Leptinaria unilamellata (Gastropoda: Subulinidae) to Novel Micro-Environmental Conditions: Shift in Shell Morphology and the Balance Between Protection Against Desiccation and Reproductive Success",2020,1.47601969721816,"Zoological Science",0.931,"Metazoa","Mollusca","Gastropoda","Stylommatophora","Subulinidae","Leptinaria unilamellata","Terrestrial","Chácara","Leopoldina","Developmental","Humidity","High",NA,"Low",NA,NA,"T1","Morphology","Aperture Width","mm",1,4,30,4.47,1.35,30,4.16,0.68,30,3.06,0.57,30,2.97,0.67,0.0420203712026244,0.00678401579411911,NA,NA,"No","No",30,4.47,1.35,30,4.16,0.68,30,3.06,0.57,30,2.97,0.67,0.0420203712026244,0.00678401579411911,-0.104014826281257,NA,NA,NA
13,4,1,4.1,4.2,2,1,"Resende, R. S.","Responses of Leptinaria unilamellata (Gastropoda: Subulinidae) to Novel Micro-Environmental Conditions: Shift in Shell Morphology and the Balance Between Protection Against Desiccation and Reproductive Success",2020,1.47601969721816,"Zoological Science",0.931,"Metazoa","Mollusca","Gastropoda","Stylommatophora","Subulinidae","Leptinaria unilamellata","Terrestrial","Chácara","Leopoldina","Transgenerational","Humidity","High",NA,"Low",NA,NA,"T1","Morphology","Shell Length","mm",1,5,30,16.15,2.53,30,14.62,2.79,30,14.3,1.75,30,13.26,1.93,0.024022042838888,0.00323734152725074,NA,NA,"No","No",30,16.15,2.53,30,14.62,2.79,30,14.3,1.75,30,13.26,1.93,0.024022042838888,0.00323734152725074,-0.0687484291911384,NA,NA,NA
14,4,1,4.1,4.2,2,2,"Resende, R. S.","Responses of Leptinaria unilamellata (Gastropoda: Subulinidae) to Novel Micro-Environmental Conditions: Shift in Shell Morphology and the Balance Between Protection Against Desiccation and Reproductive Success",2020,1.47601969721816,"Zoological Science",0.931,"Metazoa","Mollusca","Gastropoda","Stylommatophora","Subulinidae","Leptinaria unilamellata","Terrestrial","Chácara","Leopoldina","Transgenerational","Humidity","High",NA,"Low",NA,NA,"T1","Morphology","Shell Width","mm",1,5,30,8.16,1.23,30,7.22,1.52,30,6.35,0.62,30,5.91,0.7,0.0505802345846875,0.00302014722672592,NA,NA,"No","No",30,8.16,1.23,30,7.22,1.52,30,6.35,0.62,30,5.91,0.7,0.0505802345846875,0.00302014722672592,-0.0638972540995047,NA,NA,NA
15,4,1,4.1,4.2,2,3,"Resende, R. S.","Responses of Leptinaria unilamellata (Gastropoda: Subulinidae) to Novel Micro-Environmental Conditions: Shift in Shell Morphology and the Balance Between Protection Against Desiccation and Reproductive Success",2020,1.47601969721816,"Zoological Science",0.931,"Metazoa","Mollusca","Gastropoda","Stylommatophora","Subulinidae","Leptinaria unilamellata","Terrestrial","Chácara","Leopoldina","Transgenerational","Humidity","High",NA,"Low",NA,NA,"T1","Morphology","Aperture Length","mm",1,5,30,7.84,1.14,30,6.97,1.44,30,5.61,0.65,30,5.08,0.56,0.0183841516456693,0.00298011961485955,NA,NA,"No","No",30,7.84,1.14,30,6.97,1.44,30,5.61,0.65,30,5.08,0.56,0.0183841516456693,0.00298011961485955,-0.0629260443635702,NA,NA,NA
16,4,1,4.1,4.2,2,4,"Resende, R. S.","Responses of Leptinaria unilamellata (Gastropoda: Subulinidae) to Novel Micro-Environmental Conditions: Shift in Shell Morphology and the Balance Between Protection Against Desiccation and Reproductive Success",2020,1.47601969721816,"Zoological Science",0.931,"Metazoa","Mollusca","Gastropoda","Stylommatophora","Subulinidae","Leptinaria unilamellata","Terrestrial","Chácara","Leopoldina","Transgenerational","Humidity","High",NA,"Low",NA,NA,"T1","Morphology","Aperture Width","mm",1,5,30,5.17,0.99,30,4.24,1.17,30,3.68,0.48,30,3.43,0.64,0.12795692827348,0.00548805305419042,NA,NA,"No","No",30,5.17,0.99,30,4.24,1.17,30,3.68,0.48,30,3.43,0.64,0.12795692827348,0.00548805305419042,-0.0964132698864653,NA,NA,NA
17,5,1,5.1,5.2,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,1.47601969721816,"Ecology and Evolution",2.881,"Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Prenolepis imparis","Terrestrial","Berkeley","Whittier","Acclimation","Temperature","10",10,"27",27,"℃","T2","Tolerance","Chill Coma Recovery Time","s",7,6,5,174,20.1246117974981,5,744,80.4984471899924,5,180,20.1246117974981,5,768,84.970583144992,0.0021528533611006,0.00996488551297163,0.000126638433005918,0.0134250931254284,"No","No",0.714285714285714,174,20.1246117974981,0.714285714285714,744,80.4984471899924,0.714285714285714,180,20.1246117974981,0.714285714285714,768,84.970583144992,0.0021528533611006,0.0697541985908014,-0.133074645495764,0.000126638433005918,0.0732144062032582,-0.0158990992937427
18,5,1,5.1,5.3,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,1.47601969721816,"Ecology and Evolution",2.881,"Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Prenolepis imparis","Terrestrial","Berkeley","Stebbins","Acclimation","Temperature","10",10,"27",27,"℃","T2","Tolerance","Chill Coma Recovery Time","s",7,7,5,174,20.1246117974981,5,744,80.4984471899924,5,189,20.1246117974981,5,807,87.2066511224918,0.00140908240825599,0.00961978349852425,8.28872004856465e-05,0.013079991110981,"No","No",0.714285714285714,174,20.1246117974981,0.714285714285714,744,80.4984471899924,0.714285714285714,189,20.1246117974981,0.714285714285714,807,87.2066511224918,0.00140908240825599,0.0673384844896698,-0.132962333278568,8.28872004856465e-05,0.0707986921021265,0.00406282356070328
19,5,1,5.1,5.4,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,1.47601969721816,"Ecology and Evolution",2.881,"Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Prenolepis imparis","Terrestrial","Berkeley","Quail Ridge","Acclimation","Temperature","10",10,"27",27,"℃","T2","Tolerance","Chill Coma Recovery Time","s",7,8,5,174,20.1246117974981,5,744,80.4984471899924,5,149,15.6524758424985,5,636,67.0820393249937,0.00173347822389935,0.00944879646691693,0.000101969307288197,0.0129090040793737,"No","No",0.714285714285714,174,20.1246117974981,0.714285714285714,744,80.4984471899924,0.714285714285714,149,15.6524758424985,0.714285714285714,636,67.0820393249937,0.00173347822389935,0.0661415752684185,-0.132903646739477,0.000101969307288197,0.0696017828808753,0.0144666771388798
20,5,1,5.1,5.5,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,1.47601969721816,"Ecology and Evolution",2.881,"Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Prenolepis imparis","Terrestrial","Berkeley","Castle Rock","Acclimation","Temperature","10",10,"27",27,"℃","T2","Tolerance","Chill Coma Recovery Time","s",7,9,5,174,20.1246117974981,5,744,80.4984471899924,5,137,13.4164078649987,5,583,62.6099033699941,0.00477947509619536,0.00924138935004695,0.000281145593893845,0.0127015969625037,"No","No",0.714285714285714,174,20.1246117974981,0.714285714285714,744,80.4984471899924,0.714285714285714,137,13.4164078649987,0.714285714285714,583,62.6099033699941,0.00477947509619536,0.0646897254503286,-0.132829545237587,0.000281145593893845,0.0681499330627854,0.0275770340294008
21,5,1,5.1,5.6,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,1.47601969721816,"Ecology and Evolution",2.881,"Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Prenolepis imparis","Terrestrial","Berkeley","Mt Diablo","Acclimation","Temperature","10",10,"27",27,"℃","T2","Tolerance","Chill Coma Recovery Time","s",7,10,5,174,20.1246117974981,5,744,80.4984471899924,5,144,15.6524758424985,5,616,64.8459713474939,-0.000447928338956238,0.00959606844957555,-2.63487258209552e-05,0.0130562760620323,"No","No",0.714285714285714,174,20.1246117974981,0.714285714285714,744,80.4984471899924,0.714285714285714,144,15.6524758424985,0.714285714285714,616,64.8459713474939,-0.000447928338956238,0.0671724791470288,-0.13295431866646,-2.63487258209552e-05,0.0706326867594856,0.00548472574652545
22,5,1,5.1,5.7,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,1.47601969721816,"Ecology and Evolution",2.881,"Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Prenolepis imparis","Terrestrial","Berkeley","Yosemite","Acclimation","Temperature","10",10,"27",27,"℃","T2","Tolerance","Chill Coma Recovery Time","s",7,11,5,174,20.1246117974981,5,744,80.4984471899924,2,143,14.142135623731,4,612,78,-0.000901916633856636,0.0139678503600988,-5.30539196386257e-05,0.0174280579725556,"No","No",0.714285714285714,174,20.1246117974981,0.714285714285714,744,80.4984471899924,0.285714285714286,143,14.142135623731,0.571428571428571,612,78,-0.000901916633856636,0.0977749525206917,-0.133971861490215,-5.30539196386257e-05,0.101235160133148,-0.177830292274817
23,5,1,5.1,5.8,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,1.47601969721816,"Ecology and Evolution",2.881,"Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Prenolepis imparis","Terrestrial","Berkeley","Palomar","Acclimation","Temperature","10",10,"27",27,"℃","T2","Tolerance","Chill Coma Recovery Time","s",7,12,5,174,20.1246117974981,5,744,80.4984471899924,5,145,15.6524758424985,5,619,71.5541752799933,0.00161420535454049,0.0100197622509287,9.49532561494405e-05,0.0134799698633855,"No","No",0.714285714285714,174,20.1246117974981,0.714285714285714,744,80.4984471899924,0.714285714285714,145,15.6524758424985,0.714285714285714,619,71.5541752799933,0.00161420535454049,0.0701383357565012,-0.13309179200333,9.49532561494405e-05,0.0735985433689579,-0.0189526081358225
24,5,1,5.2,5.3,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,1.47601969721816,"Ecology and Evolution",2.881,"Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Prenolepis imparis","Terrestrial","Whittier","Stebbins","Acclimation","Temperature","10",10,"27",27,"℃","T2","Tolerance","Chill Coma Recovery Time","s",7,13,5,180,20.1246117974981,5,768,84.970583144992,5,189,20.1246117974981,5,807,87.2066511224918,-0.000743770952844613,0.00955127385360818,-4.37512325202714e-05,0.0130114814660649,"No","No",0.714285714285714,180,20.1246117974981,0.714285714285714,768,84.970583144992,0.714285714285714,189,20.1246117974981,0.714285714285714,807,87.2066511224918,-0.000743770952844613,0.0668589169752573,-0.13293907153632,-4.37512325202714e-05,0.070319124587714,0.00818882793428744
25,5,1,5.2,5.4,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,1.47601969721816,"Ecology and Evolution",2.881,"Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Prenolepis imparis","Terrestrial","Whittier","Quail Ridge","Acclimation","Temperature","10",10,"27",27,"℃","T2","Tolerance","Chill Coma Recovery Time","s",7,14,5,180,20.1246117974981,5,768,84.970583144992,5,149,15.6524758424985,5,636,67.0820393249937,-0.00041937513720125,0.00938028682200086,-2.46691257177206e-05,0.0128404944344576,"No","No",0.714285714285714,180,20.1246117974981,0.714285714285714,768,84.970583144992,0.714285714285714,149,15.6524758424985,0.714285714285714,636,67.0820393249937,-0.00041937513720125,0.065662007754006,-0.132879532352703,-2.46691257177206e-05,0.0691222153664628,0.0187363083165213
26,5,1,5.2,5.5,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,1.47601969721816,"Ecology and Evolution",2.881,"Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Prenolepis imparis","Terrestrial","Whittier","Castle Rock","Acclimation","Temperature","10",10,"27",27,"℃","T2","Tolerance","Chill Coma Recovery Time","s",7,15,5,180,20.1246117974981,5,768,84.970583144992,5,137,13.4164078649987,5,583,62.6099033699941,0.00262662173509476,0.00917287970513087,0.000154507160887927,0.0126330873175876,"No","No",0.714285714285714,180,20.1246117974981,0.714285714285714,768,84.970583144992,0.714285714285714,137,13.4164078649987,0.714285714285714,583,62.6099033699941,0.00262662173509476,0.0642101579359161,-0.132804332159525,0.000154507160887927,0.0676703655483729,0.0320311797196277
27,5,1,5.2,5.6,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,1.47601969721816,"Ecology and Evolution",2.881,"Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Prenolepis imparis","Terrestrial","Whittier","Mt Diablo","Acclimation","Temperature","10",10,"27",27,"℃","T2","Tolerance","Chill Coma Recovery Time","s",7,16,5,180,20.1246117974981,5,768,84.970583144992,5,144,15.6524758424985,5,616,64.8459713474939,-0.00260078170005684,0.00952755880465947,-0.000152987158826873,0.0129877664171162,"No","No",0.714285714285714,180,20.1246117974981,0.714285714285714,768,84.970583144992,0.714285714285714,144,15.6524758424985,0.714285714285714,616,64.8459713474939,-0.00260078170005684,0.0666929116326163,-0.132930941392877,-0.000152987158826873,0.070153119245073,0.00963021374224179
28,5,1,5.2,5.7,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,1.47601969721816,"Ecology and Evolution",2.881,"Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Prenolepis imparis","Terrestrial","Whittier","Yosemite","Acclimation","Temperature","10",10,"27",27,"℃","T2","Tolerance","Chill Coma Recovery Time","s",7,17,5,180,20.1246117974981,5,768,84.970583144992,2,143,14.142135623731,4,612,78,-0.00305476999495724,0.0138993407151827,-0.000179692352644544,0.0173595483276395,"No","No",0.714285714285714,180,20.1246117974981,0.714285714285714,768,84.970583144992,0.285714285714286,143,14.142135623731,0.571428571428571,612,78,-0.00305476999495724,0.0972953850062792,-0.133960852561493,-0.000179692352644544,0.100755592618736,-0.175816438940508
29,5,1,5.2,5.8,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,1.47601969721816,"Ecology and Evolution",2.881,"Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Prenolepis imparis","Terrestrial","Whittier","Palomar","Acclimation","Temperature","10",10,"27",27,"℃","T2","Tolerance","Chill Coma Recovery Time","s",7,18,5,180,20.1246117974981,5,768,84.970583144992,5,145,15.6524758424985,5,619,71.5541752799933,-0.000538648006560116,0.00995125260601267,-3.16851768564774e-05,0.0134114602184694,"No","No",0.714285714285714,180,20.1246117974981,0.714285714285714,768,84.970583144992,0.714285714285714,145,15.6524758424985,0.714285714285714,619,71.5541752799933,-0.000538648006560116,0.0696587682420887,-0.133070356500915,-3.16851768564774e-05,0.0731189758545454,-0.0151355475306674
30,5,1,5.3,5.4,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,1.47601969721816,"Ecology and Evolution",2.881,"Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Prenolepis imparis","Terrestrial","Stebbins","Quail Ridge","Acclimation","Temperature","10",10,"27",27,"℃","T2","Tolerance","Chill Coma Recovery Time","s",7,19,5,189,20.1246117974981,5,807,87.2066511224918,5,149,15.6524758424985,5,636,67.0820393249937,0.000324395815643364,0.00903518480755348,1.90821068025508e-05,0.0124953924200102,"No","No",0.714285714285714,189,20.1246117974981,0.714285714285714,807,87.2066511224918,0.714285714285714,149,15.6524758424985,0.714285714285714,636,67.0820393249937,0.000324395815643364,0.0632462936528744,-0.132752500844569,1.90821068025508e-05,0.0667065012653311,0.0411771085999396
