"Effect_Size_ID","Study_ID","Species_ID","Study_Pop_ID_(1)","Study_Pop_ID_(2)","Treatment_ID","Trait_ID","RNG","First_Author","Title","Publication_Year","Journal","Impact_Factor","Scientific_Name","Ecosystem","First_Population","Second_Population","Type","T1","T2","Treatment_Unit","Category","Measurement","Trait_Unit","Percentage_Transformation","Proportion_Transformation","Plasticity_Category","n_(P1T1)","Mean_(P1T1)","SD_(P1T1)","n_(P1T2)","Mean_(P1T2)","SD_(P1T2)","n_(P2T1)","Mean_(P2T1)","SD_(P2T1)","n_(P2T2)","Mean_(P2T2)","SD_(P2T2)"
13,4,1,4.1,4.2,2,1,1,"Resende, R. S.","Responses of Leptinaria unilamellata (Gastropoda: Subulinidae) to Novel Micro-Environmental Conditions: Shift in Shell Morphology and the Balance Between Protection Against Desiccation and Reproductive Success",2020,"Zoological Science",0.931,"Leptinaria unilamellata","Terrestrial","Chácara","Leopoldina","Humidity","High","Low",NA,"Morphology","Shell Length","mm","No","No","Transgenerational",30,16.15,2.53,30,14.62,2.79,30,14.3,1.75,30,13.26,1.93
14,4,1,4.1,4.2,2,2,1,"Resende, R. S.","Responses of Leptinaria unilamellata (Gastropoda: Subulinidae) to Novel Micro-Environmental Conditions: Shift in Shell Morphology and the Balance Between Protection Against Desiccation and Reproductive Success",2020,"Zoological Science",0.931,"Leptinaria unilamellata","Terrestrial","Chácara","Leopoldina","Humidity","High","Low",NA,"Morphology","Shell Width","mm","No","No","Transgenerational",30,8.16,1.23,30,7.22,1.52,30,6.35,0.62,30,5.91,0.7
15,4,1,4.1,4.2,2,3,1,"Resende, R. S.","Responses of Leptinaria unilamellata (Gastropoda: Subulinidae) to Novel Micro-Environmental Conditions: Shift in Shell Morphology and the Balance Between Protection Against Desiccation and Reproductive Success",2020,"Zoological Science",0.931,"Leptinaria unilamellata","Terrestrial","Chácara","Leopoldina","Humidity","High","Low",NA,"Morphology","Aperture Length","mm","No","No","Transgenerational",30,7.84,1.14,30,6.97,1.44,30,5.61,0.65,30,5.08,0.56
16,4,1,4.1,4.2,2,4,1,"Resende, R. S.","Responses of Leptinaria unilamellata (Gastropoda: Subulinidae) to Novel Micro-Environmental Conditions: Shift in Shell Morphology and the Balance Between Protection Against Desiccation and Reproductive Success",2020,"Zoological Science",0.931,"Leptinaria unilamellata","Terrestrial","Chácara","Leopoldina","Humidity","High","Low",NA,"Morphology","Aperture Width","mm","No","No","Transgenerational",30,5.17,0.99,30,4.24,1.17,30,3.68,0.48,30,3.43,0.64
17,5,1,5.1,5.2,1,1,2,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Berkeley","Whittier","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,174,20.1246117974981,5,744,80.4984471899924,5,180,20.1246117974981,5,768,84.970583144992
18,5,1,5.1,5.3,1,1,2,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Berkeley","Stebbins","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,174,20.1246117974981,5,744,80.4984471899924,5,189,20.1246117974981,5,807,87.2066511224918
19,5,1,5.1,5.4,1,1,2,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Berkeley","Quail Ridge","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,174,20.1246117974981,5,744,80.4984471899924,5,149,15.6524758424985,5,636,67.0820393249937
20,5,1,5.1,5.5,1,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Berkeley","Castle Rock","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,174,20.1246117974981,5,744,80.4984471899924,5,137,13.4164078649987,5,583,62.6099033699941
21,5,1,5.1,5.6,1,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Berkeley","Mt Diablo","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,174,20.1246117974981,5,744,80.4984471899924,5,144,15.6524758424985,5,616,64.8459713474939
22,5,1,5.1,5.7,1,1,2,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Berkeley","Yosemite","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,174,20.1246117974981,5,744,80.4984471899924,2,143,14.142135623731,4,612,78
23,5,1,5.1,5.8,1,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Berkeley","Palomar","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,174,20.1246117974981,5,744,80.4984471899924,5,145,15.6524758424985,5,619,71.5541752799933
24,5,1,5.2,5.3,1,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Whittier","Stebbins","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,180,20.1246117974981,5,768,84.970583144992,5,189,20.1246117974981,5,807,87.2066511224918
25,5,1,5.2,5.4,1,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Whittier","Quail Ridge","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,180,20.1246117974981,5,768,84.970583144992,5,149,15.6524758424985,5,636,67.0820393249937
26,5,1,5.2,5.5,1,1,2,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Whittier","Castle Rock","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,180,20.1246117974981,5,768,84.970583144992,5,137,13.4164078649987,5,583,62.6099033699941
27,5,1,5.2,5.6,1,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Whittier","Mt Diablo","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,180,20.1246117974981,5,768,84.970583144992,5,144,15.6524758424985,5,616,64.8459713474939
28,5,1,5.2,5.7,1,1,2,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Whittier","Yosemite","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,180,20.1246117974981,5,768,84.970583144992,2,143,14.142135623731,4,612,78
29,5,1,5.2,5.8,1,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Whittier","Palomar","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,180,20.1246117974981,5,768,84.970583144992,5,145,15.6524758424985,5,619,71.5541752799933
30,5,1,5.3,5.4,1,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Stebbins","Quail Ridge","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,189,20.1246117974981,5,807,87.2066511224918,5,149,15.6524758424985,5,636,67.0820393249937
31,5,1,5.3,5.5,1,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Stebbins","Castle Rock","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,189,20.1246117974981,5,807,87.2066511224918,5,137,13.4164078649987,5,583,62.6099033699941
32,5,1,5.3,5.6,1,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Stebbins","Mt Diablo","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,189,20.1246117974981,5,807,87.2066511224918,5,144,15.6524758424985,5,616,64.8459713474939
33,5,1,5.3,5.7,1,1,2,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Stebbins","Yosemite","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,189,20.1246117974981,5,807,87.2066511224918,2,143,14.142135623731,4,612,78
34,5,1,5.3,5.8,1,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Stebbins","Palomar","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,189,20.1246117974981,5,807,87.2066511224918,5,145,15.6524758424985,5,619,71.5541752799933
35,5,1,5.4,5.5,1,1,2,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Quail Ridge","Castle Rock","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,149,15.6524758424985,5,636,67.0820393249937,5,137,13.4164078649987,5,583,62.6099033699941
36,5,1,5.4,5.6,1,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Quail Ridge","Mt Diablo","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,149,15.6524758424985,5,636,67.0820393249937,5,144,15.6524758424985,5,616,64.8459713474939
37,5,1,5.4,5.7,1,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Quail Ridge","Yosemite","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,149,15.6524758424985,5,636,67.0820393249937,2,143,14.142135623731,4,612,78
38,5,1,5.4,5.8,1,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Quail Ridge","Palomar","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,149,15.6524758424985,5,636,67.0820393249937,5,145,15.6524758424985,5,619,71.5541752799933
39,5,1,5.5,5.6,1,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Castle Rock","Mt Diablo","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,137,13.4164078649987,5,583,62.6099033699941,5,144,15.6524758424985,5,616,64.8459713474939
40,5,1,5.5,5.7,1,1,2,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Castle Rock","Yosemite","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,137,13.4164078649987,5,583,62.6099033699941,2,143,14.142135623731,4,612,78
41,5,1,5.5,5.8,1,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Castle Rock","Palomar","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,137,13.4164078649987,5,583,62.6099033699941,5,145,15.6524758424985,5,619,71.5541752799933
42,5,1,5.6,5.7,1,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Mt Diablo","Yosemite","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,144,15.6524758424985,5,616,64.8459713474939,2,143,14.142135623731,4,612,78
43,5,1,5.6,5.8,1,1,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Mt Diablo","Palomar","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",5,144,15.6524758424985,5,616,64.8459713474939,5,145,15.6524758424985,5,619,71.5541752799933
44,5,1,5.7,5.8,1,1,2,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Yosemite","Palomar","Temperature","10","27","℃","Tolerance","Chill Coma Recovery Time","s","No","No","Acclimation",2,143,14.142135623731,4,612,78,5,145,15.6524758424985,5,619,71.5541752799933
45,5,1,5.1,5.2,1,2,2,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Berkeley","Whittier","Temperature","10","27","℃","Tolerance","Heat Knockdown","s","No","No","Acclimation",5,41,11.1803398874989,5,87,24.5967477524977,5,60,15.6524758424985,5,127,33.5410196624969
46,5,1,5.1,5.3,1,2,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Berkeley","Stebbins","Temperature","10","27","℃","Tolerance","Heat Knockdown","s","No","No","Acclimation",5,41,11.1803398874989,5,87,24.5967477524977,5,50,13.4164078649987,5,106,29.0688837074973
47,5,1,5.1,5.4,1,2,2,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Berkeley","Quail Ridge","Temperature","10","27","℃","Tolerance","Heat Knockdown","s","No","No","Acclimation",5,41,11.1803398874989,5,87,24.5967477524977,5,46,13.4164078649987,5,98,26.8328157299975
48,5,1,5.1,5.5,1,2,2,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Berkeley","Castle Rock","Temperature","10","27","℃","Tolerance","Heat Knockdown","s","No","No","Acclimation",5,41,11.1803398874989,5,87,24.5967477524977,5,47,13.4164078649987,5,101,26.8328157299975
49,5,1,5.1,5.6,1,2,2,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Berkeley","Mt Diablo","Temperature","10","27","℃","Tolerance","Heat Knockdown","s","No","No","Acclimation",5,41,11.1803398874989,5,87,24.5967477524977,5,48,13.4164078649987,5,102,29.0688837074973
50,5,1,5.1,5.7,1,2,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Berkeley","Yosemite","Temperature","10","27","℃","Tolerance","Heat Knockdown","s","No","No","Acclimation",5,41,11.1803398874989,5,87,24.5967477524977,5,85,24.5967477524977,5,182,49.1934955049954
51,5,1,5.1,5.8,1,2,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Berkeley","Palomar","Temperature","10","27","℃","Tolerance","Heat Knockdown","s","No","No","Acclimation",5,41,11.1803398874989,5,87,24.5967477524977,5,46,13.4164078649987,5,99,26.8328157299975
52,5,1,5.2,5.3,1,2,2,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Whittier","Stebbins","Temperature","10","27","℃","Tolerance","Heat Knockdown","s","No","No","Acclimation",5,60,15.6524758424985,5,127,33.5410196624969,5,50,13.4164078649987,5,106,29.0688837074973
53,5,1,5.2,5.4,1,2,2,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Whittier","Quail Ridge","Temperature","10","27","℃","Tolerance","Heat Knockdown","s","No","No","Acclimation",5,60,15.6524758424985,5,127,33.5410196624969,5,46,13.4164078649987,5,98,26.8328157299975
54,5,1,5.2,5.5,1,2,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Whittier","Castle Rock","Temperature","10","27","℃","Tolerance","Heat Knockdown","s","No","No","Acclimation",5,60,15.6524758424985,5,127,33.5410196624969,5,47,13.4164078649987,5,101,26.8328157299975
55,5,1,5.2,5.6,1,2,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Whittier","Mt Diablo","Temperature","10","27","℃","Tolerance","Heat Knockdown","s","No","No","Acclimation",5,60,15.6524758424985,5,127,33.5410196624969,5,48,13.4164078649987,5,102,29.0688837074973
56,5,1,5.2,5.7,1,2,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Whittier","Yosemite","Temperature","10","27","℃","Tolerance","Heat Knockdown","s","No","No","Acclimation",5,60,15.6524758424985,5,127,33.5410196624969,5,85,24.5967477524977,5,182,49.1934955049954
57,5,1,5.2,5.8,1,2,2,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Whittier","Palomar","Temperature","10","27","℃","Tolerance","Heat Knockdown","s","No","No","Acclimation",5,60,15.6524758424985,5,127,33.5410196624969,5,46,13.4164078649987,5,99,26.8328157299975
58,5,1,5.3,5.4,1,2,2,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Stebbins","Quail Ridge","Temperature","10","27","℃","Tolerance","Heat Knockdown","s","No","No","Acclimation",5,50,13.4164078649987,5,106,29.0688837074973,5,46,13.4164078649987,5,98,26.8328157299975
59,5,1,5.3,5.5,1,2,2,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Stebbins","Castle Rock","Temperature","10","27","℃","Tolerance","Heat Knockdown","s","No","No","Acclimation",5,50,13.4164078649987,5,106,29.0688837074973,5,47,13.4164078649987,5,101,26.8328157299975
60,5,1,5.3,5.6,1,2,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Stebbins","Mt Diablo","Temperature","10","27","℃","Tolerance","Heat Knockdown","s","No","No","Acclimation",5,50,13.4164078649987,5,106,29.0688837074973,5,48,13.4164078649987,5,102,29.0688837074973
61,5,1,5.3,5.7,1,2,1,"Tonione, M. A.","Intraspecific variation in thermal acclimation and tolerance between populations of the winter ant, Prenolepis imparis",2020,"Ecology and Evolution",2.881,"Prenolepis imparis","Terrestrial","Stebbins","Yosemite","Temperature","10","27","℃","Tolerance","Heat Knockdown","s","No","No","Acclimation",5,50,13.4164078649987,5,106,29.0688837074973,5,85,24.5967477524977,5,182,49.1934955049954
